group,role,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
agent C,room temperature,OU001-RT601 SpaceTemp,7bbaddba-f917-4745-a0b9-8b5c067eb8bf,Temperature,Celsius,22.53955078125,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,cc6cdff9-14f8-4d18-b1e0-669ab2759020,Temperature,Celsius,22.885883331298828,2026-09-02T06:34:53,
agent C,room temperature,OU001-RT601 SpaceTemp,5d13f448-5cf8-4372-876b-a0b82f9f89aa,Temperature,Celsius,24.640003204345703,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,d1f2ba23-aff7-4c3c-bcd1-6ae1511a360f,Temperature,Celsius,23.349029541015625,2026-09-02T06:34:53,
agent C,room temperature,OU001-RT601 SpaceTemp,78f6c0df-30e6-483f-b61d-083df19acd9f,Temperature,Celsius,22.51133155822754,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,60002b08-c5a8-4f34-a709-c63e6c692010,Temperature,Celsius,22.74664878845215,2026-09-02T06:34:51,
agent C,room temperature,OU001-RT601 SpaceTemp,9b88df10-e395-49f6-bc3d-0de8599c6b78,Temperature,Celsius,22.96031379699707,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,76a83c28-57ae-45de-9421-731bc8501050,Temperature,Celsius,26.368133544921875,2026-09-02T06:34:51,
agent C,room temperature,OU001-RT601 SpaceTemp,8600c778-3e02-4efe-8e14-52664b93b566,Temperature,Celsius,23.15125846862793,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,bbc0bd20-0410-4977-b7fe-1fa99e145406,Temperature,Celsius,24.399784088134766,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,f567dc09-cfcd-4db4-8b84-c3217a078dad,Temperature,Celsius,23.590396881103516,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,5e9f5b3c-17de-40dd-b7c6-c87c69b1d157,Temperature,Celsius,24.164541244506836,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,6fbc77a7-2339-4080-9ff7-7883ec446620,Temperature,Celsius,24.217853546142578,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,3eda9eb4-3e7f-485b-9fff-1413242c2827,Temperature,Celsius,24.315948486328125,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,4103a5a4-c2e6-4c8f-bc8d-77550ad4d16d,Temperature,Celsius,23.14010238647461,2026-09-02T06:34:53,
agent C,room temperature,OU001-RT601 SpaceTemp,f298348d-5e45-43d8-aa05-41ade454b5aa,Temperature,Celsius,22.7836971282959,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,1ce159b3-5db8-4dca-ac42-6737b05ebd35,Temperature,Celsius,24.26702880859375,2026-09-02T06:34:53,
agent C,room temperature,OU001-RT601 SpaceTemp,58579848-1857-42b8-8b82-117fcc75e4e7,Temperature,Celsius,23.344209671020508,2026-09-02T06:34:54,
agent C,room temperature,OU001-RT601 SpaceTemp,0f3d04a1-e5f5-4366-b2bd-f8c93dc8e253,Temperature,Celsius,23.392562866210938,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,e456d522-b0db-4e38-9cb9-c989cfa767b1,Temperature,Celsius,23.190509796142578,2026-09-02T06:34:52,
agent C,room temperature,OU001-RT601 SpaceTemp,537d6b95-d749-41c0-bcb2-08079bf88298,Temperature,Celsius,20.078222274780273,2026-09-02T06:34:55,
agent C,room temperature,OU001-RT601 SpaceTemp,81ec543e-141d-44dd-b98e-aa8c27dfd2b0,Temperature,Celsius,22.849857330322266,2026-09-02T06:34:53,
agent C,room temperature,OU001-RT601 SpaceTemp,9d58930d-d1f4-44d3-9eff-544c0e4f2065,Temperature,Celsius,23.64474868774414,2026-09-02T06:34:51,
agent C,room temperature,OU001-RT601 SpaceTemp,2e6ed285-5634-4d38-8861-74cde3c78998,Temperature,Celsius,23.96590232849121,2026-09-02T06:34:54,
